user_id,paper_id,event,timestamp,label
60,21,click,2024-03-05 06:23:17,1
38,760,open_pdf,2025-01-01 23:28:11,0
179,359,click,2025-08-18 12:13:33,1
66,986,click,2025-03-14 18:53:32,1
140,624,click,2025-06-20 03:57:24,1
2,525,click,2024-10-15 08:27:35,1
99,196,open_pdf,2024-01-19 00:16:28,0
33,967,save,2025-08-06 10:40:04,1
155,962,click,2024-02-07 03:46:59,1
98,967,click,2024-11-25 01:35:15,1
42,224,save,2024-12-13 20:12:08,1
178,152,open_pdf,2024-03-10 00:17:39,0
35,774,click,2024-08-28 02:33:56,1
12,690,click,2024-01-08 01:46:27,1
194,93,save,2025-02-25 20:51:59,1
55,135,click,2025-03-20 16:49:21,1
37,752,click,2024-03-02 09:41:11,1
186,220,click,2025-08-24 00:27:26,1
162,256,click,2024-04-10 19:28:17,1
21,611,click,2024-04-26 02:50:08,1
81,935,open_pdf,2024-11-20 19:51:54,0
115,724,click,2023-12-20 21:51:21,1
197,823,click,2025-02-05 02:56:33,1
130,814,open_pdf,2024-06-18 12:48:05,0
13,666,click,2025-01-15 01:19:19,1
160,421,save,2025-09-10 21:07:40,1
72,268,open_pdf,2023-12-20 07:09:00,0
87,4,save,2025-01-31 20:05:30,1
45,266,click,2024-11-02 03:21:17,1
8,652,open_pdf,2025-03-27 02:52:56,0
75,1,save,2024-08-07 13:53:53,1
51,114,open_pdf,2024-07-01 19:10:40,0
180,701,click,2024-05-16 05:20:51,1
161,432,save,2025-01-20 13:08:01,1
184,371,save,2025-10-30 06:04:34,1
24,540,save,2024-01-24 03:49:12,1
143,907,save,2025-07-11 11:47:54,1
127,623,click,2024-08-28 06:33:07,1
186,523,open_pdf,2025-10-21 06:03:03,0
119,816,open_pdf,2024-07-05 03:55:21,0
4,991,click,2025-10-31 01:31:32,1
162,5,click,2024-01-16 02:08:24,1
107,416,click,2025-09-29 07:37:22,1
13,18,save,2025-09-27 09:03:02,1
84,232,click,2024-10-07 12:24:30,1
19,630,save,2024-02-16 16:52:16,1
76,755,click,2025-07-27 04:14:32,1
123,401,click,2024-04-22 18:10:47,1
15,737,save,2025-08-15 05:52:46,1
186,16,open_pdf,2024-08-05 15:31:52,0
131,637,save,2024-06-27 16:38:38,1
70,263,save,2024-06-15 05:44:27,1
175,998,open_pdf,2024-04-07 16:50:44,0
